index,match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
2994,13,97,1,15.1,2,Vijay Shankar,Suyash Sharma,"Suyash Sharma to Vijay Shankar, 2 runs,",2
2995,13,98,1,15.2,2,Vijay Shankar,Suyash Sharma,"Suyash Sharma to Vijay Shankar, 2 runs,",2
2996,13,99,1,15.3,4,Vijay Shankar,Suyash Sharma,"Suyash Sharma to Vijay Shankar, Four,",4
2997,13,100,1,15.4,2,Vijay Shankar,Suyash Sharma,"Suyash Sharma to Vijay Shankar, 2 runs,",2
2998,13,101,1,15.5,1,Vijay Shankar,Suyash Sharma,"Suyash Sharma to Vijay Shankar, 1 run,",1
2999,13,102,1,15.6,1,Sai Sudharsan,Suyash Sharma,"Suyash Sharma to Sai Sudharsan, 1 run,",1
3000,13,103,1,16.1,2,Sai Sudharsan,Lockie Ferguson,"Lockie Ferguson to Sai Sudharsan, 2 runs,",2
3001,13,104,1,16.2,1,Sai Sudharsan,Lockie Ferguson,"Lockie Ferguson to Sai Sudharsan, 1 run,",1
3002,13,105,1,16.3,1,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, 1 run,",1
3003,13,106,1,16.4,1,Sai Sudharsan,Lockie Ferguson,"Lockie Ferguson to Sai Sudharsan, 1 run,",1
3004,13,107,1,16.5,1,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, 1 run,",1
3005,13,108,1,16.6,1,Sai Sudharsan,Lockie Ferguson,"Lockie Ferguson to Sai Sudharsan, 1 run,",1
3006,13,109,1,17.1,1,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, 1 run,",1
3007,13,110,1,17.2,1,Vijay Shankar,Sunil Narine,"Sunil Narine to Vijay Shankar, 1 run,",1
3008,13,111,1,17.3,w,Sai Sudharsan,Sunil Narine,"Sunil Narine to Sai Sudharsan, no run,                           Wicket - c (sub AS Roy) b SP Narine batsmen out 53(38)",0
3009,13,112,1,17.4,1,David Miller,Sunil Narine,"Sunil Narine to David Miller, 1 run,",1
3010,13,113,1,17.5,4,Vijay Shankar,Sunil Narine,"Sunil Narine to Vijay Shankar, Four,",4
3011,13,114,1,17.6,1,Vijay Shankar,Sunil Narine,"Sunil Narine to Vijay Shankar, 1 run,",1
3012,13,115,1,18.1,5nb,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, 5 no ball,",5
3013,13,116,1,18.1,2,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, 2 runs,",2
3014,13,117,1,18.2,6,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, Six,",6
3015,13,118,1,18.3,4,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, Four,",4
3016,13,119,1,18.4,1,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, 1 run,",1
3017,13,120,1,18.5,1lb,David Miller,Lockie Ferguson,"Lockie Ferguson to David Miller, 1 leg bye,",1
3018,13,121,1,18.6,6,Vijay Shankar,Lockie Ferguson,"Lockie Ferguson to Vijay Shankar, Six,",6
3019,13,122,1,19.1,1,David Miller,Shardul Thakur,"Shardul Thakur to David Miller, 1 run,",1
3020,13,123,1,19.2,0,Vijay Shankar,Shardul Thakur,"Shardul Thakur to Vijay Shankar, no run,",0
3021,13,124,1,19.3,6,Vijay Shankar,Shardul Thakur,"Shardul Thakur to Vijay Shankar, Six,",6
3022,13,125,1,19.4,6,Vijay Shankar,Shardul Thakur,"Shardul Thakur to Vijay Shankar, Six,",6
